ID;COUNTRY;YEAR;QUARTER;VESSEL_LENGTH;GEAR;MESH_SIZE_RANGE;FISHERY;AREA;SPECON;SPECIES;LANDINGS;DISCARDS;NO_SAMPLES_LANDINGS;NO_LENGTH_MEASUREMENTS_LANDINGS;NO_AGE_MEASUREMENTS_LANDINGS;NO_SAMPLES_DISCARDS;NO_LENGTH_MEASUREMENTS_DISCARDS;NO_AGE_MEASUREMENTS_DISCARDS;NO_SAMPLES_CATCH;NO_LENGTH_MEASUREMENTS_CATCH;NO_AGE_MEASUREMENTS_CATCH;MIN_AGE;MAX_AGE;AGE_0;AGE_0_NO_LANDED;AGE_0_MEAN_WEIGHT_LANDED;AGE_0_MEAN_LENGTH_LANDED;AGE_0_NO_DISCARD;AGE_0_MEAN_WEIGHT_DISCARD;AGE_0_MEAN_LENGTH_DISCARD;AGE_1;AGE_1_NO_LANDED;AGE_1_MEAN_WEIGHT_LANDED;AGE_1_MEAN_LENGTH_LANDED;AGE_1_NO_DISCARD;AGE_1_MEAN_WEIGHT_DISCARD;AGE_1_MEAN_LENGTH_DISCARD;AGE_2;AGE_2_NO_LANDED;AGE_2_MEAN_WEIGHT_LANDED;AGE_2_MEAN_LENGTH_LANDED;AGE_2_NO_DISCARD;AGE_2_MEAN_WEIGHT_DISCARD;AGE_2_MEAN_LENGTH_DISCARD;AGE_3;AGE_3_NO_LANDED;AGE_3_MEAN_WEIGHT_LANDED;AGE_3_MEAN_LENGTH_LANDED;AGE_3_NO_DISCARD;AGE_3_MEAN_WEIGHT_DISCARD;AGE_3_MEAN_LENGTH_DISCARD;AGE_4;AGE_4_NO_LANDED;AGE_4_MEAN_WEIGHT_LANDED;AGE_4_MEAN_LENGTH_LANDED;AGE_4_NO_DISCARD;AGE_4_MEAN_WEIGHT_DISCARD;AGE_4_MEAN_LENGTH_DISCARD;AGE_5;AGE_5_NO_LANDED;AGE_5_MEAN_WEIGHT_LANDED;AGE_5_MEAN_LENGTH_LANDED;AGE_5_NO_DISCARD;AGE_5_MEAN_WEIGHT_DISCARD;AGE_5_MEAN_LENGTH_DISCARD;AGE_6;AGE_6_NO_LANDED;AGE_6_MEAN_WEIGHT_LANDED;AGE_6_MEAN_LENGTH_LANDED;AGE_6_NO_DISCARD;AGE_6_MEAN_WEIGHT_DISCARD;AGE_6_MEAN_LENGTH_DISCARD;AGE_7;AGE_7_NO_LANDED;AGE_7_MEAN_WEIGHT_LANDED;AGE_7_MEAN_LENGTH_LANDED;AGE_7_NO_DISCARD;AGE_7_MEAN_WEIGHT_DISCARD;AGE_7_MEAN_LENGTH_DISCARD;AGE_8;AGE_8_NO_LANDED;AGE_8_MEAN_WEIGHT_LANDED;AGE_8_MEAN_LENGTH_LANDED;AGE_8_NO_DISCARD;AGE_8_MEAN_WEIGHT_DISCARD;AGE_8_MEAN_LENGTH_DISCARD;AGE_9;AGE_9_NO_LANDED;AGE_9_MEAN_WEIGHT_LANDED;AGE_9_MEAN_LENGTH_LANDED;AGE_9_NO_DISCARD;AGE_9_MEAN_WEIGHT_DISCARD;AGE_9_MEAN_LENGTH_DISCARD;AGE_10;AGE_10_NO_LANDED;AGE_10_MEAN_WEIGHT_LANDED;AGE_10_MEAN_LENGTH_LANDED;AGE_10_NO_DISCARD;AGE_10_MEAN_WEIGHT_DISCARD;AGE_10_MEAN_LENGTH_DISCARD;AGE_11;AGE_11_NO_LANDED;AGE_11_MEAN_WEIGHT_LANDED;AGE_11_MEAN_LENGTH_LANDED;AGE_11_NO_DISCARD;AGE_11_MEAN_WEIGHT_DISCARD;AGE_11_MEAN_LENGTH_DISCARD;AGE_12;AGE_12_NO_LANDED;AGE_12_MEAN_WEIGHT_LANDED;AGE_12_MEAN_LENGTH_LANDED;AGE_12_NO_DISCARD;AGE_12_MEAN_WEIGHT_DISCARD;AGE_12_MEAN_LENGTH_DISCARD;AGE_13;AGE_13_NO_LANDED;AGE_13_MEAN_WEIGHT_LANDED;AGE_13_MEAN_LENGTH_LANDED;AGE_13_NO_DISCARD;AGE_13_MEAN_WEIGHT_DISCARD;AGE_13_MEAN_LENGTH_DISCARD;AGE_14;AGE_14_NO_LANDED;AGE_14_MEAN_WEIGHT_LANDED;AGE_14_MEAN_LENGTH_LANDED;AGE_14_NO_DISCARD;AGE_14_MEAN_WEIGHT_DISCARD;AGE_14_MEAN_LENGTH_DISCARD;AGE_15;AGE_15_NO_LANDED;AGE_15_MEAN_WEIGHT_LANDED;AGE_15_MEAN_LENGTH_LANDED;AGE_15_NO_DISCARD;AGE_15_MEAN_WEIGHT_DISCARD;AGE_15_MEAN_LENGTH_DISCARD;AGE_16;AGE_16_NO_LANDED;AGE_16_MEAN_WEIGHT_LANDED;AGE_16_MEAN_LENGTH_LANDED;AGE_16_NO_DISCARD;AGE_16_MEAN_WEIGHT_DISCARD;AGE_16_MEAN_LENGTH_DISCARD;AGE_17;AGE_17_NO_LANDED;AGE_17_MEAN_WEIGHT_LANDED;AGE_17_MEAN_LENGTH_LANDED;AGE_17_NO_DISCARD;AGE_17_MEAN_WEIGHT_DISCARD;AGE_17_MEAN_LENGTH_DISCARD;AGE_18;AGE_18_NO_LANDED;AGE_18_MEAN_WEIGHT_LANDED;AGE_18_MEAN_LENGTH_LANDED;AGE_18_NO_DISCARD;AGE_18_MEAN_WEIGHT_DISCARD;AGE_18_MEAN_LENGTH_DISCARD;AGE_19;AGE_19_NO_LANDED;AGE_19_MEAN_WEIGHT_LANDED;AGE_19_MEAN_LENGTH_LANDED;AGE_19_NO_DISCARD;AGE_19_MEAN_WEIGHT_DISCARD;AGE_19_MEAN_LENGTH_DISCARD;AGE_20_PLUS;AGE_20_PLUS_NO_LANDED;AGE_20_PLUS_MEAN_WEIGHT_LANDED;AGE_20_PLUS_MEAN_LENGTH_LANDED;AGE_20_PLUS_NO_DISCARD;AGE_20_PLUS_MEAN_WEIGHT_DISCARD;AGE_20_PLUS_MEAN_LENGTH_DISCARD;SOMMA_NUMERI_LANDING;SOMMA_NUMERI_DISCARD
COUNTRY199991VL1218OTB50D100DEMSPSA 99;COUNTRY1;9999;1;VL1218;OTB;50D100;DEMSP;SA 99;-1;HKE;51.558892;1.976661429;0;109;55;3;219;39;3;328;94;0;5;0;0;0;0;237.152;0.009;11.7;1;478.728;0.058;20.6;0;0;0;2;52.163;0.122;26;0;0;0;3;12.771;0.293;34.6;0;0;0;4;5.473;0.778;47;0;0;0;5;5.473;1.151;53;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;554.608;237.152
COUNTRY199992VL1218OTB50D100DEMSPSA 99;COUNTRY1;9999;2;VL1218;OTB;50D100;DEMSP;SA 99;-1;HKE;23.48159;0.939647372;2;101;46;2;104;38;4;205;84;0;3;0;2.709;0.025;15.7;111.537;0.009;11;1;244.715;0.051;20;1.083;0.029;17;2;54.492;0.14;27.4;0;0;0;3;5.44;0.373;37.5;0;0;0;4;0;0;0;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;307.356;112.62
COUNTRY19999-1-1OTB50D100DWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DWSP;SA 99;-1;HKE;1.442298;0.014776915;2;51;45;4;35;35;6;86;80;0;6;0;1.05;0.019;14.3;3.022;0.005;9.3;1;5.312;0.056;20.3;0;0;0;2;2.434;0.14;27.1;0;0;0;3;0.554;0.277;33.7;0;0;0;4;0.39;0.764;46.8;0;0;0;5;0;0;0;0;0;0;6;0.195;1.224;54;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;9.935;3.022
COUNTRY199991-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;1;-1;OTB;50D100;MDDWSP;SA 99;-1;HKE;13.472613;0.253688744;1;573;105;2;109;17;3;682;122;0;4;0;172.668;0.013;13;37.538;0.007;10.7;1;72.83;0.046;19;0;0;0;2;28.291;0.126;26.3;0;0;0;3;7.229;0.362;36.8;0;0;0;4;1.421;0.606;43.4;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;282.439;37.538
COUNTRY199992-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;2;-1;OTB;50D100;MDDWSP;SA 99;-1;HKE;15.259277;0;1;162;55;1;14;10;2;176;65;0;7;0;5.465;0.021;15.1;0;0;0;1;114.54;0.055;20.3;0;0;0;2;45.188;0.11;25.1;0;0;0;3;1.039;0.244;32.5;0;0;0;4;0.802;0.805;47.5;0;0;0;5;0.237;0.805;47.5;0;0;0;6;0;0;0;0;0;0;7;1.039;1.727;60;0;0;0;8;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;11;0;0;0;0;0;0;12;0;0;0;0;0;0;13;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;17;0;0;0;0;0;0;18;0;0;0;0;0;0;19;0;0;0;0;0;0;20;0;0;0;0;0;0;168.31;0
COUNTRY199991-1GNS16D20DEMFSA 99;COUNTRY1;9999;1;-1;GNS;16D20;DEMF;SA 99;DIS-DEROG;HKE;111.091398;-1;11;79;58;3;-1;-1;14;79;58;1;10;0;0;0;0;-1;-1;-1;1;5.334;0.047;19.8;-1;-1;-1;2;26.573;0.176;29.5;-1;-1;-1;3;39.302;0.403;38.3;-1;-1;-1;4;44.621;0.648;44.3;-1;-1;-1;5;20.56;0.924;49.3;-1;-1;-1;6;13.279;1.394;56.1;-1;-1;-1;7;2.603;1.823;61;-1;-1;-1;8;2.603;0.945;50.5;-1;-1;-1;9;2.137;3.208;72.5;-1;-1;-1;10;0.466;3.208;72.5;-1;-1;-1;11;0;0;0;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;157.478;NA
COUNTRY199992-1GNS16D20DEMFSA 99;COUNTRY1;9999;2;-1;GNS;16D20;DEMF;SA 99;DIS-DEROG;HKE;124.36116;-1;10;56;49;3;-1;-1;13;56;49;2;7;0;0;0;0;-1;-1;-1;1;0;0;0;-1;-1;-1;2;28.752;0.219;31.8;-1;-1;-1;3;68.893;0.373;37.3;-1;-1;-1;4;96.687;0.446;39.3;-1;-1;-1;5;43.831;0.55;42.1;-1;-1;-1;6;10.15;0.619;44;-1;-1;-1;7;5.228;1.872;61.5;-1;-1;-1;8;0;0;0;-1;-1;-1;9;0;0;0;-1;-1;-1;10;0;0;0;-1;-1;-1;11;0;0;0;-1;-1;-1;12;0;0;0;-1;-1;-1;13;0;0;0;-1;-1;-1;14;0;0;0;-1;-1;-1;15;0;0;0;-1;-1;-1;16;0;0;0;-1;-1;-1;17;0;0;0;-1;-1;-1;18;0;0;0;-1;-1;-1;19;0;0;0;-1;-1;-1;20;0;0;0;-1;-1;-1;253.541;NA
COUNTRY199991-1GNS16D20SLPFSA 99;COUNTRY1;9999;1;-1;GNS;16D20;SLPF;SA 99;DIS-DEROG;HKE;6.295388;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199992-1GNS16D20SLPFSA 99;COUNTRY1;9999;2;-1;GNS;16D20;SLPF;SA 99;DIS-DEROG;HKE;3.943808;-1;0;-1;-1;0;-1;-1;0;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
COUNTRY199991-1GTR16D20DEMSPSA 99;COUNTRY1;9999;1;-1;GTR;16D20;DEMSP;SA 99;DIS-DEROG;HKE;45.079166;-1;8;0;-1;2;-1;-1;10;0;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;3;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;-1;7;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;-1;-1;9;-1;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;11;-1;-1;-1;-1;-1;-1;12;-1;-1;-1;-1;-1;-1;13;-1;-1;-1;-1;-1;-1;14;-1;-1;-1;-1;-1;-1;15;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;17;-1;-1;-1;-1;-1;-1;18;-1;-1;-1;-1;-1;-1;19;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;-1;-1;NA;NA
