ID;COUNTRY;YEAR;QUARTER;VESSEL_LENGTH;GEAR;MESH_SIZE_RANGE;FISHERY;AREA;SPECON;SPECIES;LANDINGS;UNIT;LENGTHCLASS0;LENGTHCLASS1;LENGTHCLASS2;LENGTHCLASS3;LENGTHCLASS4;LENGTHCLASS5;LENGTHCLASS6;LENGTHCLASS7;LENGTHCLASS8;LENGTHCLASS9;LENGTHCLASS10;LENGTHCLASS11;LENGTHCLASS12;LENGTHCLASS13;LENGTHCLASS14;LENGTHCLASS15;LENGTHCLASS16;LENGTHCLASS17;LENGTHCLASS18;LENGTHCLASS19;LENGTHCLASS20;LENGTHCLASS21;LENGTHCLASS22;LENGTHCLASS23;LENGTHCLASS24;LENGTHCLASS25;LENGTHCLASS26;LENGTHCLASS27;LENGTHCLASS28;LENGTHCLASS29;LENGTHCLASS30;LENGTHCLASS31;LENGTHCLASS32;LENGTHCLASS33;LENGTHCLASS34;LENGTHCLASS35;LENGTHCLASS36;LENGTHCLASS37;LENGTHCLASS38;LENGTHCLASS39;LENGTHCLASS40;LENGTHCLASS41;LENGTHCLASS42;LENGTHCLASS43;LENGTHCLASS44;LENGTHCLASS45;LENGTHCLASS46;LENGTHCLASS47;LENGTHCLASS48;LENGTHCLASS49;LENGTHCLASS50;LENGTHCLASS51;LENGTHCLASS52;LENGTHCLASS53;LENGTHCLASS54;LENGTHCLASS55;LENGTHCLASS56;LENGTHCLASS57;LENGTHCLASS58;LENGTHCLASS59;LENGTHCLASS60;LENGTHCLASS61;LENGTHCLASS62;LENGTHCLASS63;LENGTHCLASS64;LENGTHCLASS65;LENGTHCLASS66;LENGTHCLASS67;LENGTHCLASS68;LENGTHCLASS69;LENGTHCLASS70;LENGTHCLASS71;LENGTHCLASS72;LENGTHCLASS73;LENGTHCLASS74;LENGTHCLASS75;LENGTHCLASS76;LENGTHCLASS77;LENGTHCLASS78;LENGTHCLASS79;LENGTHCLASS80;LENGTHCLASS81;LENGTHCLASS82;LENGTHCLASS83;LENGTHCLASS84;LENGTHCLASS85;LENGTHCLASS86;LENGTHCLASS87;LENGTHCLASS88;LENGTHCLASS89;LENGTHCLASS90;LENGTHCLASS91;LENGTHCLASS92;LENGTHCLASS93;LENGTHCLASS94;LENGTHCLASS95;LENGTHCLASS96;LENGTHCLASS97;LENGTHCLASS98;LENGTHCLASS99;LENGTHCLASS100_PLUS
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;ANK;233.1992761;cm;0;0;0;0;0;0;0;0;0;0;0;0;6.975;9.3;30.226;43.014;37.201;65.102;63.939;35.457;38.945;48.245;67.427;71.496;52.314;26.157;24.413;15.694;26.157;34.295;19.763;11.044;11.625;16.275;5.231;8.719;14.532;1.163;1.744;5.813;1.163;3.488;1.744;1.163;0;0;1.744;0;0.581;1.163;0;2.325;2.325;1.163;0.581;0.581;2.325;0;1.163;2.906;0;0;1.163;0;0;0;0;1.163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.581
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;ANK;51.16598525;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;1.51;3.451;7.117;8.196;10.137;12.509;11.862;12.078;14.019;8.196;8.196;9.49;9.921;10.352;9.274;6.902;7.98;3.451;2.804;3.451;3.882;1.51;1.941;1.941;3.235;0.431;1.51;0.863;0.647;0.863;0;0.216;0.216;0.431;0;0.647;0;0.647;0.647;0.863;0;0;0.431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;ARA;11.9884935;mm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.263;1.844;4.741;5.531;4.214;2.634;4.214;6.322;11.589;14.223;31.608;40.563;42.934;33.715;28.974;15.014;25.023;35.032;19.228;30.027;28.71;21.862;10.799;16.331;12.906;2.107;1.844;4.478;0.527;4.478;0.263;0.527;0.263;0;0.79;1.844;0.263;0.263;0.263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;ARS;10.8504551;mm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.016;0.678;1.694;2.372;4.066;6.776;13.553;17.618;24.395;28.799;39.642;33.543;33.543;46.079;47.096;30.832;14.569;13.892;11.181;6.099;6.776;7.454;8.132;7.793;10.842;15.924;25.072;34.559;20.668;18.635;11.181;5.082;2.711;2.711;2.711;3.388;2.711;3.388;0.678;0;0.678;0.678;0.678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1GNS16D20DEMFSA 99;COUNTRY1;9999;-1;-1;GNS;16D20;DEMF;SA 99;-1;BOG;125.1293785;cm;0;0;0;0;0;0;0;0;0;0;0;27.697;0;83.09;83.09;41.545;55.394;152.332;83.09;41.545;13.848;13.848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1GTR16D20DEMSPSA 99;COUNTRY1;9999;-1;-1;GTR;16D20;DEMSP;SA 99;-1;BOG;4.20435985;cm;0;0;0;0;0;0;0;0;0;0;0;0;1.85;5.549;3.699;0;3.699;7.399;7.399;1.85;5.549;3.699;0;0;1.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;BOG;29.76250025;cm;0;0;0;0;0;0;0;0;0;0;22.948;125.169;146.725;278.848;504.847;563.954;580.643;447.825;105.698;134.904;34.769;1.391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;BOG;2.75744625;cm;0;0;0;0;0;0;0;0;0;0;0.441;1.058;5.997;15.611;43.305;28.664;14.112;4.763;2.117;0.265;0;0.088;0.088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;BON;1.27018285;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1GNS16D20DEMFSA 99;COUNTRY1;9999;-1;-1;GNS;16D20;DEMF;SA 99;-1;BRF;18.3587239;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1LLS-1DEMFSA 99;COUNTRY1;9999;-1;-1;LLS;-1;DEMF;SA 99;-1;BRF;76.6540173;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100-1SA 99;COUNTRY1;9999;-1;-1;OTB;50D100;-1;SA 99;-1;BRF;20.85449185;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
