Sampling type;Flag country;Year;Trip code;Harbour;Number of sets / hauls on trip;Days at sea;Sampling method;Aggregation level;Station number;Duration of fishing operation;Initial latitude;Initial longitude;Final latitude;Final longitude;Depth of fishing operation;Water depth;Catch registration;Species registration;Date;Area;Fishing activity category National;Fishing activity category European lvl 6;Species;Catch category;Weight;Subsample weight;Sex;Maturity method;Maturity Scale;Maturity Stage;Ageing method;Age;Length code;Length class;Number at length;Commercial size category scale;Commercial size category;fish ID;Individual weight
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;M;Macr;Medits scale;0;; ;mm;22;4;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Dis;199;52;M;Macr;Medits scale;0;; ;mm;22;1;CIBM;S;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;F;Macr;Medits scale;2c;; ;mm;23;1;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;M;Macr;Medits scale;0;; ;mm;23;6;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;M;Macr;Medits scale;0;; ;mm;24;14;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Dis;199;52;M;Macr;Medits scale;0;; ;mm;24;1;CIBM;S;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;F;Macr;Medits scale;2b;; ;mm;25;3;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;F;Macr;Medits scale;2c;; ;mm;25;1;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;F;Macr;Medits scale;2d;; ;mm;25;1;CIBM;I;;
S;ITA;2014;GSA9_2014_3014;ITPTH; ;1;Observer;T;999; ;42.05748333;11.1481;42.04216667;10.87456667;410;410;All;All;06/06/2014;GSA9; ;OTB_DES_>=40_0_0;Parapenaeus longirostris;Lan;17550;4643;M;Macr;Medits scale;0;; ;mm;25;20;CIBM;I;;
