Sampling type;Flag country;Year;Trip code;Harbour;Number of sets / hauls on trip;Days at sea;Sampling method;Aggregation level;Station number;Duration of fishing operation;Initial latitude;Initial longitude;Final latitude;Final longitude;Depth of fishing operation;Water depth;Catch registration;Species registration;Date;Area;Fishing activity category National;Fishing activity category European lvl 6;Species;Catch category;Weight;Subsample weight;Sex;Maturity method;Maturity Scale;Maturity Stage;Ageing method;Age;Length code;Length class;Number at length;Commercial size category scale;Commercial size category;fish ID;Individual weight
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;M;Macr;Medits scale;2d;;;mm;18;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;19;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;20;2;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;M;Macr;Medits scale;2d;;;mm;21;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;21;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;22;1;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;M;Macr;Medits scale;2d;;;mm;22;3;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;22;7;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2b;;;mm;23;7;COUNTRY1;1;;
S;COUNTRY1;1900;01_18_2017;ITBCE;5;1;SelfSampling;T;999;1200;;;;;65;;Lan;All;08/01/1900;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Parapenaeus longirostris;Lan;6100;3050;F;Macr;Medits scale;2e;;;mm;23;22;COUNTRY1;1;;
