COUNTRY;AREA;START_YEAR;END_YEAR;SPECIES;SEX;LENGTHCLASS;UNIT;SAMPLE_SIZE;PRM;COMMENTS
COUNTRY1;99;9999;9999;HKE;F;14;cm;55;0;
COUNTRY1;99;9999;9999;HKE;F;15;cm;35;0;
COUNTRY1;99;9999;9999;HKE;F;16;cm;33;0;
COUNTRY1;99;9999;9999;HKE;F;17;cm;43;0;
COUNTRY1;99;9999;9999;HKE;F;18;cm;36;0;
COUNTRY1;99;9999;9999;HKE;F;19;cm;43;0;
COUNTRY1;99;9999;9999;HKE;F;20;cm;40;0.001;
COUNTRY1;99;9999;9999;HKE;F;21;cm;31;0.001;
COUNTRY1;99;9999;9999;HKE;F;22;cm;20;0.002;
COUNTRY1;99;9999;9999;HKE;F;23;cm;30;0.003;
COUNTRY1;99;9999;9999;HKE;F;24;cm;20;0.006;
COUNTRY1;99;9999;9999;HKE;F;25;cm;17;0.01;
COUNTRY1;99;9999;9999;HKE;F;26;cm;8;0.018;
COUNTRY1;99;9999;9999;HKE;F;27;cm;17;0.033;
COUNTRY1;99;9999;9999;HKE;F;28;cm;7;0.057;
COUNTRY1;99;9999;9999;HKE;F;29;cm;16;0.099;
COUNTRY1;99;9999;9999;HKE;F;30;cm;6;0.164;
COUNTRY1;99;9999;9999;HKE;F;31;cm;9;0.262;
COUNTRY1;99;9999;9999;HKE;F;32;cm;8;0.39;
COUNTRY1;99;9999;9999;HKE;F;33;cm;4;0.535;
COUNTRY1;99;9999;9999;HKE;F;34;cm;11;0.674;
COUNTRY1;99;9999;9999;HKE;F;35;cm;6;0.788;
COUNTRY1;99;9999;9999;HKE;F;36;cm;11;0.87;
COUNTRY1;99;9999;9999;HKE;F;37;cm;14;0.924;
COUNTRY1;99;9999;9999;HKE;F;38;cm;13;0.956;
COUNTRY1;99;9999;9999;HKE;F;39;cm;10;0.975;
COUNTRY1;99;9999;9999;HKE;F;40;cm;18;0.986;
COUNTRY1;99;9999;9999;HKE;F;41;cm;14;0.992;
COUNTRY1;99;9999;9999;HKE;F;42;cm;10;0.996;
COUNTRY1;99;9999;9999;HKE;F;43;cm;10;0.998;
COUNTRY1;99;9999;9999;HKE;F;44;cm;11;0.999;
COUNTRY1;99;9999;9999;HKE;F;45;cm;9;0.999;
COUNTRY1;99;9999;9999;HKE;F;46;cm;13;1;
COUNTRY1;99;9999;9999;HKE;F;47;cm;11;1;
COUNTRY1;99;9999;9999;HKE;F;48;cm;6;1;
COUNTRY1;99;9999;9999;HKE;F;49;cm;10;1;
COUNTRY1;99;9999;9999;HKE;F;50;cm;7;1;
COUNTRY1;99;9999;9999;HKE;F;51;cm;9;1;
COUNTRY1;99;9999;9999;HKE;F;52;cm;10;1;
COUNTRY1;99;9999;9999;HKE;F;53;cm;7;1;
COUNTRY1;99;9999;9999;HKE;F;54;cm;7;1;
COUNTRY1;99;9999;9999;HKE;F;55;cm;9;1;
COUNTRY1;99;9999;9999;HKE;F;56;cm;2;1;
COUNTRY1;99;9999;9999;HKE;F;57;cm;6;1;
COUNTRY1;99;9999;9999;HKE;F;58;cm;4;1;
COUNTRY1;99;9999;9999;HKE;F;59;cm;3;1;
COUNTRY1;99;9999;9999;HKE;F;60;cm;6;1;
COUNTRY1;99;9999;9999;HKE;F;61;cm;5;1;
COUNTRY1;99;9999;9999;HKE;F;62;cm;3;1;
COUNTRY1;99;9999;9999;HKE;F;63;cm;1;1;
COUNTRY1;99;9999;9999;HKE;F;64;cm;2;1;
COUNTRY1;99;9999;9999;HKE;F;65;cm;4;1;
COUNTRY1;99;9999;9999;HKE;F;66;cm;3;1;
COUNTRY1;99;9999;9999;HKE;F;67;cm;3;1;
COUNTRY1;99;9999;9999;HKE;F;68;cm;5;1;
COUNTRY1;99;9999;9999;HKE;F;69;cm;2;1;
COUNTRY1;99;9999;9999;HKE;F;70;cm;1;1;
COUNTRY1;99;9999;9999;HKE;F;72;cm;3;1;
COUNTRY1;99;9999;9999;HKE;F;73;cm;2;1;
COUNTRY1;99;9999;9999;HKE;F;76;cm;2;1;
COUNTRY1;99;9999;9999;HKE;F;78;cm;1;1;
COUNTRY1;99;9999;9999;HKE;F;79;cm;1;1;
COUNTRY1;99;9999;9999;HKE;F;80;cm;1;1;
COUNTRY1;99;9999;9999;HKE;M;14;cm;44;0.022;
COUNTRY1;99;9999;9999;HKE;M;15;cm;25;0.091;
COUNTRY1;99;9999;9999;HKE;M;16;cm;14;0.304;
COUNTRY1;99;9999;9999;HKE;M;17;cm;16;0.655;
COUNTRY1;99;9999;9999;HKE;M;18;cm;13;0.892;
COUNTRY1;99;9999;9999;HKE;M;19;cm;20;0.973;
COUNTRY1;99;9999;9999;HKE;M;20;cm;15;0.994;
COUNTRY1;99;9999;9999;HKE;M;21;cm;20;0.999;
COUNTRY1;99;9999;9999;HKE;M;22;cm;18;1;
COUNTRY1;99;9999;9999;HKE;M;23;cm;25;1;
COUNTRY1;99;9999;9999;HKE;M;24;cm;22;1;
COUNTRY1;99;9999;9999;HKE;M;25;cm;10;1;
COUNTRY1;99;9999;9999;HKE;M;26;cm;11;1;
COUNTRY1;99;9999;9999;HKE;M;27;cm;5;1;
COUNTRY1;99;9999;9999;HKE;M;28;cm;3;1;
COUNTRY1;99;9999;9999;HKE;M;29;cm;3;1;
COUNTRY1;99;9999;9999;HKE;M;32;cm;2;1;
COUNTRY1;99;9999;9999;HKE;M;33;cm;2;1;
COUNTRY1;99;9999;9999;HKE;M;34;cm;3;1;
COUNTRY1;99;9999;9999;HKE;M;35;cm;5;1;
COUNTRY1;99;9999;9999;HKE;M;36;cm;6;1;
COUNTRY1;99;9999;9999;HKE;M;37;cm;3;1;
COUNTRY1;99;9999;9999;HKE;M;38;cm;6;1;
COUNTRY1;99;9999;9999;HKE;M;39;cm;3;1;
