ID;COUNTRY;YEAR;QUARTER;VESSEL_LENGTH;GEAR;MESH_SIZE_RANGE;FISHERY;AREA;SPECON;SPECIES;LANDINGS;UNIT;LENGTHCLASS0;LENGTHCLASS1;LENGTHCLASS2;LENGTHCLASS3;LENGTHCLASS4;LENGTHCLASS5;LENGTHCLASS6;LENGTHCLASS7;LENGTHCLASS8;LENGTHCLASS9;LENGTHCLASS10;LENGTHCLASS11;LENGTHCLASS12;LENGTHCLASS13;LENGTHCLASS14;LENGTHCLASS15;LENGTHCLASS16;LENGTHCLASS17;LENGTHCLASS18;LENGTHCLASS19;LENGTHCLASS20;LENGTHCLASS21;LENGTHCLASS22;LENGTHCLASS23;LENGTHCLASS24;LENGTHCLASS25;LENGTHCLASS26;LENGTHCLASS27;LENGTHCLASS28;LENGTHCLASS29;LENGTHCLASS30;LENGTHCLASS31;LENGTHCLASS32;LENGTHCLASS33;LENGTHCLASS34;LENGTHCLASS35;LENGTHCLASS36;LENGTHCLASS37;LENGTHCLASS38;LENGTHCLASS39;LENGTHCLASS40;LENGTHCLASS41;LENGTHCLASS42;LENGTHCLASS43;LENGTHCLASS44;LENGTHCLASS45;LENGTHCLASS46;LENGTHCLASS47;LENGTHCLASS48;LENGTHCLASS49;LENGTHCLASS50;LENGTHCLASS51;LENGTHCLASS52;LENGTHCLASS53;LENGTHCLASS54;LENGTHCLASS55;LENGTHCLASS56;LENGTHCLASS57;LENGTHCLASS58;LENGTHCLASS59;LENGTHCLASS60;LENGTHCLASS61;LENGTHCLASS62;LENGTHCLASS63;LENGTHCLASS64;LENGTHCLASS65;LENGTHCLASS66;LENGTHCLASS67;LENGTHCLASS68;LENGTHCLASS69;LENGTHCLASS70;LENGTHCLASS71;LENGTHCLASS72;LENGTHCLASS73;LENGTHCLASS74;LENGTHCLASS75;LENGTHCLASS76;LENGTHCLASS77;LENGTHCLASS78;LENGTHCLASS79;LENGTHCLASS80;LENGTHCLASS81;LENGTHCLASS82;LENGTHCLASS83;LENGTHCLASS84;LENGTHCLASS85;LENGTHCLASS86;LENGTHCLASS87;LENGTHCLASS88;LENGTHCLASS89;LENGTHCLASS90;LENGTHCLASS91;LENGTHCLASS92;LENGTHCLASS93;LENGTHCLASS94;LENGTHCLASS95;LENGTHCLASS96;LENGTHCLASS97;LENGTHCLASS98;LENGTHCLASS99;LENGTHCLASS100_PLUS
COUNTRY199991-1GNS16D20DEMFSA 99;COUNTRY1;9999;1;-1;GNS;16D20;DEMF;SA 99;-1;HKE;100.99218;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.301;1.301;2.603;0;0;0;0;1.301;0;6.507;3.904;5.206;1.301;1.301;3.904;3.904;6.507;1.301;1.301;3.904;2.603;9.11;14.316;6.507;3.904;7.809;7.809;5.206;13.015;2.603;2.603;6.507;5.206;0;3.904;2.603;2.603;5.206;0;2.603;2.603;0;0;2.603;0;0;0;0;0;0;0;0;0;0;2.603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1GNS16D20DEMFSA 99;COUNTRY1;9999;2;-1;GNS;16D20;DEMF;SA 99;-1;HKE;113.0556;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.228;7.841;15.683;5.228;5.228;15.683;18.297;31.366;28.752;10.455;20.911;28.752;26.138;15.683;7.841;0;0;0;2.614;2.614;0;0;0;0;0;0;0;0;0;0;0;5.228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1GNS16D20SLPFSA 99;COUNTRY1;9999;1;-1;GNS;16D20;SLPF;SA 99;-1;HKE;5.72308;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1GNS16D20SLPFSA 99;COUNTRY1;9999;2;-1;GNS;16D20;SLPF;SA 99;-1;HKE;3.58528;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1GTR16D20DEMSPSA 99;COUNTRY1;9999;1;-1;GTR;16D20;DEMSP;SA 99;-1;HKE;40.98106;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1GTR16D20DEMSPSA 99;COUNTRY1;9999;2;-1;GTR;16D20;DEMSP;SA 99;-1;HKE;51.83254;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991-1LLD-1LPFSA 99;COUNTRY1;9999;1;-1;LLD;-1;LPF;SA 99;-1;HKE;7.63113;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992-1LLD-1LPFSA 99;COUNTRY1;9999;2;-1;LLD;-1;LPF;SA 99;-1;HKE;2.94855;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199991VL1218LLS-1DEMFSA 99;COUNTRY1;9999;1;VL1218;LLS;-1;DEMF;SA 99;-1;HKE;46.83463;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.15;0;0.766;0.383;0.766;1.533;2.299;3.449;1.15;3.066;0.766;2.683;1.916;0.766;0.383;1.916;0.766;1.916;1.15;0.383;1.916;0.766;2.299;2.299;1.15;0.766;1.533;0.766;1.15;1.15;1.15;0.766;0;0.383;0.383;0.766;0.383;0.383;0.383;0.766;0.383;0;0;0.383;0.766;0;0;0.383;0;0.383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY199992VL1218LLS-1DEMFSA 99;COUNTRY1;9999;2;VL1218;LLS;-1;DEMF;SA 99;-1;HKE;44.19571;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.299;0.299;0.599;0.599;0.299;0.898;2.095;2.095;2.394;3.292;1.197;2.095;1.197;1.496;1.496;0.599;1.796;1.197;2.095;1.197;0.898;1.796;0.299;0.599;0;0.299;0.898;1.496;0.599;0;0.299;1.197;0.599;0.599;0.898;0.299;0.299;0;0.299;0;0;0;0.299;0;0;0.299;0.299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
