ID,COUNTRY,AREA,START_YEAR,END_YEAR,SPECIES,SEX,AGECLASS,PRM,SAMPLE_SIZE,method_used
35307,XXX,999,2006,2006,DPS,F,0,0.4601,642,GLM. Logistic function. Binomial error
35308,XXX,999,2006,2006,DPS,F,1,0.9621,2094,GLM. Logistic function. Binomial error
35309,XXX,999,2006,2006,DPS,F,2,1,679,GLM. Logistic function. Binomial error
35310,XXX,999,2006,2006,DPS,F,3,1,94,GLM. Logistic function. Binomial error
35311,XXX,999,2006,2006,DPS,F,4,1,16,GLM. Logistic function. Binomial error
35312,XXX,999,2006,2006,DPS,F,5,1,4,GLM. Logistic function. Binomial error
35385,XXX,999,2007,2007,DPS,F,0,0.6604,588,GLM. Logistic function. Binomial error
35386,XXX,999,2007,2007,DPS,F,1,0.9766,1120,GLM. Logistic function. Binomial error
35387,XXX,999,2007,2007,DPS,F,2,0.9997,450,GLM. Logistic function. Binomial error
35388,XXX,999,2007,2007,DPS,F,3,1,26,GLM. Logistic function. Binomial error
35389,XXX,999,2007,2007,DPS,F,4,1,5,GLM. Logistic function. Binomial error
35390,XXX,999,2007,2007,DPS,F,5,1,7,GLM. Logistic function. Binomial error
35438,XXX,999,2008,2008,DPS,F,0,0.3872,660,GLM. Logistic function. Binomial error
35439,XXX,999,2008,2008,DPS,F,1,0.9234,1485,GLM. Logistic function. Binomial error
35440,XXX,999,2008,2008,DPS,F,2,0.9971,369,GLM. Logistic function. Binomial error
35441,XXX,999,2008,2008,DPS,F,3,0.9995,51,GLM. Logistic function. Binomial error
35442,XXX,999,2008,2008,DPS,F,4,0.9997,10,GLM. Logistic function. Binomial error
35443,XXX,999,2008,2008,DPS,F,5,0.9999,26,GLM. Logistic function. Binomial error
35627,XXX,999,2009,2009,DPS,F,0,0.1552,1531,GLM. Logistic function. Binomial error
35628,XXX,999,2009,2009,DPS,F,1,0.7728,2042,GLM. Logistic function. Binomial error
35629,XXX,999,2009,2009,DPS,F,2,0.9387,674,GLM. Logistic function. Binomial error
35630,XXX,999,2009,2009,DPS,F,3,0.9796,52,GLM. Logistic function. Binomial error
35631,XXX,999,2009,2009,DPS,F,4,0.9868,10,GLM. Logistic function. Binomial error
35632,XXX,999,2009,2009,DPS,F,5,0.9939,50,GLM. Logistic function. Binomial error
35695,XXX,999,2010,2010,DPS,F,0,0.316,2356,GLM. Logistic function. Binomial error
35696,XXX,999,2010,2010,DPS,F,1,0.9344,6326,GLM. Logistic function. Binomial error
35697,XXX,999,2010,2010,DPS,F,2,0.9996,830,GLM. Logistic function. Binomial error
35698,XXX,999,2010,2010,DPS,F,3,1,109,GLM. Logistic function. Binomial error
35699,XXX,999,2010,2010,DPS,F,4,1,25,GLM. Logistic function. Binomial error
35700,XXX,999,2010,2010,DPS,F,5,1,11,GLM. Logistic function. Binomial error
35773,XXX,999,2011,2011,DPS,F,0,0.6346,1979,GLM. Logistic function. Binomial error
35774,XXX,999,2011,2011,DPS,F,1,0.9538,4540,GLM. Logistic function. Binomial error
35775,XXX,999,2011,2011,DPS,F,2,0.995,645,GLM. Logistic function. Binomial error
35776,XXX,999,2011,2011,DPS,F,3,0.9987,81,GLM. Logistic function. Binomial error
35777,XXX,999,2011,2011,DPS,F,4,0.9992,24,GLM. Logistic function. Binomial error
35778,XXX,999,2011,2011,DPS,F,5,0.9996,39,GLM. Logistic function. Binomial error
35988,XXX,999,2012,2012,DPS,F,0,0.3865,1505,GLM. Logistic function. Binomial error
35989,XXX,999,2012,2012,DPS,F,1,0.8891,3251,GLM. Logistic function. Binomial error
35990,XXX,999,2012,2012,DPS,F,2,0.9906,705,GLM. Logistic function. Binomial error
35991,XXX,999,2012,2012,DPS,F,3,0.9978,51,GLM. Logistic function. Binomial error
35992,XXX,999,2012,2012,DPS,F,4,0.9988,10,GLM. Logistic function. Binomial error
35993,XXX,999,2012,2012,DPS,F,5,0.9993,16,GLM. Logistic function. Binomial error
36059,XXX,999,2013,2013,DPS,F,0,0.8738,1088,GLM. Logistic function. Binomial error
36060,XXX,999,2013,2013,DPS,F,1,0.9975,3234,GLM. Logistic function. Binomial error
36061,XXX,999,2013,2013,DPS,F,2,0.9999,562,GLM. Logistic function. Binomial error
36062,XXX,999,2013,2013,DPS,F,3,1,60,GLM. Logistic function. Binomial error
36063,XXX,999,2013,2013,DPS,F,4,1,16,GLM. Logistic function. Binomial error
36064,XXX,999,2013,2013,DPS,F,5,1,18,GLM. Logistic function. Binomial error
36127,XXX,999,2014,2014,DPS,F,0,0.4411,1820,GLM. Logistic function. Binomial error
36128,XXX,999,2014,2014,DPS,F,1,0.8879,2503,GLM. Logistic function. Binomial error
36129,XXX,999,2014,2014,DPS,F,2,0.9843,607,GLM. Logistic function. Binomial error
36130,XXX,999,2014,2014,DPS,F,3,0.9951,44,GLM. Logistic function. Binomial error
36131,XXX,999,2014,2014,DPS,F,4,1,15,GLM. Logistic function. Binomial error
36132,XXX,999,2014,2014,DPS,F,5,1,18,GLM. Logistic function. Binomial error
36322,XXX,999,2015,2015,DPS,F,0,0.5557,4000,GLM. Logistic function. Binomial error
36323,XXX,999,2015,2015,DPS,F,1,0.9112,4842,GLM. Logistic function. Binomial error
36324,XXX,999,2015,2015,DPS,F,2,0.9852,411,GLM. Logistic function. Binomial error
36325,XXX,999,2015,2015,DPS,F,3,0.9948,28,GLM. Logistic function. Binomial error
36326,XXX,999,2015,2015,DPS,F,4,0.9964,1,GLM. Logistic function. Binomial error
36394,XXX,999,2016,2016,DPS,F,0,0.7177,4803,GLM. Logistic function. Binomial error
36395,XXX,999,2016,2016,DPS,F,1,0.9873,5351,GLM. Logistic function. Binomial error
36396,XXX,999,2016,2016,DPS,F,2,0.9997,767,GLM. Logistic function. Binomial error
36397,XXX,999,2016,2016,DPS,F,3,0.9999,75,GLM. Logistic function. Binomial error
36398,XXX,999,2016,2016,DPS,F,4,1,6,GLM. Logistic function. Binomial error
36399,XXX,999,2016,2016,DPS,F,5,1,13,GLM. Logistic function. Binomial error
36400,XXX,999,2017,2016,DPS,F,0,0.7177,4803,GLM. Logistic function. Binomial error
36401,XXX,999,2017,2016,DPS,F,1,0.9873,5351,GLM. Logistic function. Binomial error
36402,XXX,999,2017,2016,DPS,F,2,0.9997,767,GLM. Logistic function. Binomial error
36403,XXX,999,2017,2016,DPS,F,3,0.9999,75,GLM. Logistic function. Binomial error
36404,XXX,999,2017,2016,DPS,F,4,1,6,GLM. Logistic function. Binomial error
36405,XXX,999,2017,2016,DPS,F,5,1,13,GLM. Logistic function. Binomial error
