ID,COUNTRY,AREA,START_YEAR,END_YEAR,SPECIES,SEX,UNIT,LENGTHCLASS,SAMPLE_SIZE,PRM,method_used
199455,XXX,999,2007,2007,DPS,F,mm,13,2,0.02,GLM. Logistic function. Binomial error
199456,XXX,999,2007,2007,DPS,F,mm,14,1,0.04,GLM. Logistic function. Binomial error
199457,XXX,999,2007,2007,DPS,F,mm,16,2,0.1,GLM. Logistic function. Binomial error
199458,XXX,999,2007,2007,DPS,F,mm,17,15,0.15,GLM. Logistic function. Binomial error
199459,XXX,999,2007,2007,DPS,F,mm,18,16,0.23,GLM. Logistic function. Binomial error
199460,XXX,999,2007,2007,DPS,F,mm,19,35,0.34,GLM. Logistic function. Binomial error
199461,XXX,999,2007,2007,DPS,F,mm,20,58,0.46,GLM. Logistic function. Binomial error
199462,XXX,999,2007,2007,DPS,F,mm,21,85,0.59,GLM. Logistic function. Binomial error
199463,XXX,999,2007,2007,DPS,F,mm,22,120,0.7,GLM. Logistic function. Binomial error
199464,XXX,999,2007,2007,DPS,F,mm,23,158,0.8,GLM. Logistic function. Binomial error
199465,XXX,999,2007,2007,DPS,F,mm,24,96,0.87,GLM. Logistic function. Binomial error
199466,XXX,999,2007,2007,DPS,F,mm,25,161,0.92,GLM. Logistic function. Binomial error
199467,XXX,999,2007,2007,DPS,F,mm,26,113,0.95,GLM. Logistic function. Binomial error
199468,XXX,999,2007,2007,DPS,F,mm,27,105,0.97,GLM. Logistic function. Binomial error
199469,XXX,999,2007,2007,DPS,F,mm,28,88,0.98,GLM. Logistic function. Binomial error
199470,XXX,999,2007,2007,DPS,F,mm,29,69,0.99,GLM. Logistic function. Binomial error
199471,XXX,999,2007,2007,DPS,F,mm,30,74,0.99,GLM. Logistic function. Binomial error
199472,XXX,999,2007,2007,DPS,F,mm,31,76,1,GLM. Logistic function. Binomial error
199473,XXX,999,2007,2007,DPS,F,mm,32,120,1,GLM. Logistic function. Binomial error
199474,XXX,999,2007,2007,DPS,F,mm,33,164,1,GLM. Logistic function. Binomial error
199475,XXX,999,2007,2007,DPS,F,mm,34,150,1,GLM. Logistic function. Binomial error
199476,XXX,999,2007,2007,DPS,F,mm,35,149,1,GLM. Logistic function. Binomial error
199477,XXX,999,2007,2007,DPS,F,mm,36,134,1,GLM. Logistic function. Binomial error
199478,XXX,999,2007,2007,DPS,F,mm,37,85,1,GLM. Logistic function. Binomial error
199479,XXX,999,2007,2007,DPS,F,mm,38,57,1,GLM. Logistic function. Binomial error
199480,XXX,999,2007,2007,DPS,F,mm,39,25,1,GLM. Logistic function. Binomial error
199481,XXX,999,2007,2007,DPS,F,mm,40,19,1,GLM. Logistic function. Binomial error
199482,XXX,999,2007,2007,DPS,F,mm,41,7,1,GLM. Logistic function. Binomial error
199483,XXX,999,2007,2007,DPS,F,mm,42,5,1,GLM. Logistic function. Binomial error
199484,XXX,999,2007,2007,DPS,F,mm,43,4,1,GLM. Logistic function. Binomial error
199485,XXX,999,2007,2007,DPS,F,mm,44,1,1,GLM. Logistic function. Binomial error
199486,XXX,999,2007,2007,DPS,F,mm,45,2,1,GLM. Logistic function. Binomial error
199487,XXX,999,2008,2008,DPS,F,mm,13,10,0.02,GLM. Logistic function. Binomial error
199488,XXX,999,2008,2008,DPS,F,mm,14,8,0.02,GLM. Logistic function. Binomial error
199489,XXX,999,2008,2008,DPS,F,mm,15,13,0.04,GLM. Logistic function. Binomial error
199490,XXX,999,2008,2008,DPS,F,mm,16,16,0.06,GLM. Logistic function. Binomial error
199491,XXX,999,2008,2008,DPS,F,mm,17,23,0.08,GLM. Logistic function. Binomial error
199492,XXX,999,2008,2008,DPS,F,mm,18,46,0.12,GLM. Logistic function. Binomial error
199493,XXX,999,2008,2008,DPS,F,mm,19,37,0.18,GLM. Logistic function. Binomial error
199494,XXX,999,2008,2008,DPS,F,mm,20,53,0.25,GLM. Logistic function. Binomial error
199495,XXX,999,2008,2008,DPS,F,mm,21,85,0.33,GLM. Logistic function. Binomial error
199496,XXX,999,2008,2008,DPS,F,mm,22,129,0.43,GLM. Logistic function. Binomial error
199497,XXX,999,2008,2008,DPS,F,mm,23,117,0.54,GLM. Logistic function. Binomial error
199498,XXX,999,2008,2008,DPS,F,mm,24,123,0.64,GLM. Logistic function. Binomial error
199499,XXX,999,2008,2008,DPS,F,mm,25,120,0.73,GLM. Logistic function. Binomial error
199500,XXX,999,2008,2008,DPS,F,mm,26,103,0.81,GLM. Logistic function. Binomial error
199501,XXX,999,2008,2008,DPS,F,mm,27,140,0.87,GLM. Logistic function. Binomial error
199502,XXX,999,2008,2008,DPS,F,mm,28,181,0.91,GLM. Logistic function. Binomial error
199503,XXX,999,2008,2008,DPS,F,mm,29,157,0.94,GLM. Logistic function. Binomial error
199504,XXX,999,2008,2008,DPS,F,mm,30,157,0.96,GLM. Logistic function. Binomial error
199505,XXX,999,2008,2008,DPS,F,mm,31,195,0.97,GLM. Logistic function. Binomial error
199506,XXX,999,2008,2008,DPS,F,mm,32,189,0.98,GLM. Logistic function. Binomial error
199507,XXX,999,2008,2008,DPS,F,mm,33,139,0.99,GLM. Logistic function. Binomial error
199508,XXX,999,2008,2008,DPS,F,mm,34,104,0.99,GLM. Logistic function. Binomial error
199509,XXX,999,2008,2008,DPS,F,mm,35,99,0.99,GLM. Logistic function. Binomial error
199510,XXX,999,2008,2008,DPS,F,mm,36,96,1,GLM. Logistic function. Binomial error
199511,XXX,999,2008,2008,DPS,F,mm,37,61,1,GLM. Logistic function. Binomial error
199512,XXX,999,2008,2008,DPS,F,mm,38,67,1,GLM. Logistic function. Binomial error
199513,XXX,999,2008,2008,DPS,F,mm,39,46,1,GLM. Logistic function. Binomial error
199514,XXX,999,2008,2008,DPS,F,mm,40,36,1,GLM. Logistic function. Binomial error
199515,XXX,999,2008,2008,DPS,F,mm,41,15,1,GLM. Logistic function. Binomial error
199516,XXX,999,2008,2008,DPS,F,mm,42,10,1,GLM. Logistic function. Binomial error
199517,XXX,999,2008,2008,DPS,F,mm,43,20,1,GLM. Logistic function. Binomial error
199518,XXX,999,2008,2008,DPS,F,mm,44,4,1,GLM. Logistic function. Binomial error
199519,XXX,999,2008,2008,DPS,F,mm,45,2,1,GLM. Logistic function. Binomial error
199520,XXX,999,2009,2009,DPS,F,mm,8,20,0.01,GLM. Logistic function. Binomial error
199521,XXX,999,2009,2009,DPS,F,mm,9,5,0.01,GLM. Logistic function. Binomial error
199522,XXX,999,2009,2009,DPS,F,mm,10,73,0.02,GLM. Logistic function. Binomial error
199523,XXX,999,2009,2009,DPS,F,mm,11,81,0.02,GLM. Logistic function. Binomial error
199524,XXX,999,2009,2009,DPS,F,mm,12,31,0.03,GLM. Logistic function. Binomial error
199525,XXX,999,2009,2009,DPS,F,mm,13,58,0.03,GLM. Logistic function. Binomial error
199526,XXX,999,2009,2009,DPS,F,mm,14,76,0.04,GLM. Logistic function. Binomial error
199527,XXX,999,2009,2009,DPS,F,mm,15,85,0.06,GLM. Logistic function. Binomial error
199528,XXX,999,2009,2009,DPS,F,mm,16,101,0.07,GLM. Logistic function. Binomial error
199529,XXX,999,2009,2009,DPS,F,mm,17,109,0.09,GLM. Logistic function. Binomial error
199530,XXX,999,2009,2009,DPS,F,mm,18,147,0.12,GLM. Logistic function. Binomial error
199531,XXX,999,2009,2009,DPS,F,mm,19,151,0.15,GLM. Logistic function. Binomial error
199532,XXX,999,2009,2009,DPS,F,mm,20,121,0.18,GLM. Logistic function. Binomial error
199533,XXX,999,2009,2009,DPS,F,mm,21,114,0.22,GLM. Logistic function. Binomial error
199534,XXX,999,2009,2009,DPS,F,mm,22,105,0.27,GLM. Logistic function. Binomial error
199535,XXX,999,2009,2009,DPS,F,mm,23,121,0.33,GLM. Logistic function. Binomial error
199536,XXX,999,2009,2009,DPS,F,mm,24,133,0.39,GLM. Logistic function. Binomial error
199537,XXX,999,2009,2009,DPS,F,mm,25,125,0.45,GLM. Logistic function. Binomial error
199538,XXX,999,2009,2009,DPS,F,mm,26,97,0.52,GLM. Logistic function. Binomial error
199539,XXX,999,2009,2009,DPS,F,mm,27,119,0.59,GLM. Logistic function. Binomial error
199540,XXX,999,2009,2009,DPS,F,mm,28,142,0.65,GLM. Logistic function. Binomial error
199541,XXX,999,2009,2009,DPS,F,mm,29,109,0.71,GLM. Logistic function. Binomial error
199542,XXX,999,2009,2009,DPS,F,mm,30,168,0.76,GLM. Logistic function. Binomial error
199543,XXX,999,2009,2009,DPS,F,mm,31,187,0.8,GLM. Logistic function. Binomial error
199544,XXX,999,2009,2009,DPS,F,mm,32,315,0.84,GLM. Logistic function. Binomial error
199545,XXX,999,2009,2009,DPS,F,mm,33,448,0.87,GLM. Logistic function. Binomial error
199546,XXX,999,2009,2009,DPS,F,mm,34,332,0.9,GLM. Logistic function. Binomial error
199547,XXX,999,2009,2009,DPS,F,mm,35,269,0.92,GLM. Logistic function. Binomial error
199548,XXX,999,2009,2009,DPS,F,mm,36,183,0.94,GLM. Logistic function. Binomial error
199549,XXX,999,2009,2009,DPS,F,mm,37,106,0.95,GLM. Logistic function. Binomial error
199550,XXX,999,2009,2009,DPS,F,mm,38,56,0.96,GLM. Logistic function. Binomial error
199551,XXX,999,2009,2009,DPS,F,mm,39,60,0.97,GLM. Logistic function. Binomial error
199552,XXX,999,2009,2009,DPS,F,mm,40,33,0.98,GLM. Logistic function. Binomial error
199553,XXX,999,2009,2009,DPS,F,mm,41,19,0.98,GLM. Logistic function. Binomial error
199554,XXX,999,2009,2009,DPS,F,mm,42,10,0.99,GLM. Logistic function. Binomial error
199555,XXX,999,2009,2009,DPS,F,mm,43,10,0.99,GLM. Logistic function. Binomial error
199556,XXX,999,2009,2009,DPS,F,mm,44,9,0.99,GLM. Logistic function. Binomial error
199557,XXX,999,2009,2009,DPS,F,mm,45,9,0.99,GLM. Logistic function. Binomial error
199558,XXX,999,2009,2009,DPS,F,mm,46,6,1,GLM. Logistic function. Binomial error
199559,XXX,999,2009,2009,DPS,F,mm,47,9,1,GLM. Logistic function. Binomial error
199560,XXX,999,2009,2009,DPS,F,mm,48,6,1,GLM. Logistic function. Binomial error
199561,XXX,999,2009,2009,DPS,F,mm,49,1,1,GLM. Logistic function. Binomial error
199562,XXX,999,2010,2010,DPS,F,mm,9,4,0,GLM. Logistic function. Binomial error
199563,XXX,999,2010,2010,DPS,F,mm,10,3,0,GLM. Logistic function. Binomial error
199564,XXX,999,2010,2010,DPS,F,mm,11,9,0,GLM. Logistic function. Binomial error
199565,XXX,999,2010,2010,DPS,F,mm,12,10,0,GLM. Logistic function. Binomial error
199566,XXX,999,2010,2010,DPS,F,mm,13,19,0,GLM. Logistic function. Binomial error
199567,XXX,999,2010,2010,DPS,F,mm,14,22,0.01,GLM. Logistic function. Binomial error
199568,XXX,999,2010,2010,DPS,F,mm,15,71,0.01,GLM. Logistic function. Binomial error
199569,XXX,999,2010,2010,DPS,F,mm,16,100,0.02,GLM. Logistic function. Binomial error
199570,XXX,999,2010,2010,DPS,F,mm,17,159,0.03,GLM. Logistic function. Binomial error
199571,XXX,999,2010,2010,DPS,F,mm,18,201,0.06,GLM. Logistic function. Binomial error
199572,XXX,999,2010,2010,DPS,F,mm,19,222,0.1,GLM. Logistic function. Binomial error
199573,XXX,999,2010,2010,DPS,F,mm,20,255,0.16,GLM. Logistic function. Binomial error
199574,XXX,999,2010,2010,DPS,F,mm,21,211,0.26,GLM. Logistic function. Binomial error
199575,XXX,999,2010,2010,DPS,F,mm,22,250,0.39,GLM. Logistic function. Binomial error
199576,XXX,999,2010,2010,DPS,F,mm,23,326,0.54,GLM. Logistic function. Binomial error
199577,XXX,999,2010,2010,DPS,F,mm,24,494,0.68,GLM. Logistic function. Binomial error
199578,XXX,999,2010,2010,DPS,F,mm,25,705,0.79,GLM. Logistic function. Binomial error
